pm10_index_rt,pm10_index_24,pm25_index_rt,pm25_index_24,pm25_24,pm25_rt,pm10_rt,staname,time,date,city,pm10_24
43,58,70,115,41,21,46,新区办事处,07:00:00,2013-07-08,镇江,69
107,87,180,172,96,111,167,周村三金集团,07:00:00,2013-07-08,淄博,128
92,62,176,154,61,103,137,淄川气象站,07:00:00,2013-07-08,淄博,77
87,90,165,174,100,82,127,污水处理厂,07:00:00,2013-07-08,枣庄,134
50,33,115,80,26,41,54,开发区环保局,07:00:00,2013-07-08,烟台,36
98,84,174,172,96,100,149,新区,07:00:00,2013-07-08,淄博,121
87,106,164,178,108,80,127,市中区政府,07:00:00,2013-07-08,枣庄,166
44,29,115,74,23,41,48,莱山区环保局,07:00:00,2013-07-08,烟台,31
54,80,154,153,59,61,62,开发区管委会,07:00:00,2013-07-08,盐城,114
63,29,134,46,11,49,79,鼓浪屿,07:00:00,2013-07-08,厦门,31
162,116,268,187,126,218,278,达活泉,07:00:00,2013-07-08,邢台,186
90,63,172,153,60,97,133,凤凰山,07:00:00,2013-07-08,淄博,79
87,101,163,178,108,79,127,高新区,07:00:00,2013-07-08,枣庄,156
48,53,163,156,66,78,52,山亭区环保局,07:00:00,2013-07-08,枣庄,60
55,33,99,66,19,35,63,中国农业大学,07:00:00,2013-07-08,烟台,36
60,59,132,139,51,48,73,盐城电厂,07:00:00,2013-07-08,盐城,72
37,23,72,42,10,22,40,湖里,07:00:00,2013-07-08,厦门,25
183,128,225,177,105,175,319,市环保局,07:00:00,2013-07-08,邢台,210
86,74,165,161,75,83,125,职业学院,07:00:00,2013-07-08,淄博,101
71,94,157,173,98,67,96,峄城区政府,07:00:00,2013-07-08,枣庄,142
35,26,91,55,14,31,38,福山区监测站,07:00:00,2013-07-08,烟台,28
51,59,107,115,41,38,56,市监测站,07:00:00,2013-07-08,盐城,71
31,23,42,38,9,10,33,洪文,07:00:00,2013-07-08,厦门,25
147,118,216,178,108,166,248,路桥公司,07:00:00,2013-07-08,邢台,190
138,81,161,154,62,74,229,临淄莆田园,07:00:00,2013-07-08,淄博,115
83,97,156,173,99,66,119,薛城区环保局,07:00:00,2013-07-08,枣庄,148
42,15,82,59,16,27,45,莱山盛泉工业园,07:00:00,2013-07-08,烟台,16
48,51,107,105,37,38,52,文峰中学,07:00:00,2013-07-08,盐城,56
27,18,33,33,8,8,29,溪东,07:00:00,2013-07-08,厦门,19
126,97,185,166,85,122,205,邢师高专,07:00:00,2013-07-08,邢台,148
91,65,160,153,59,73,135,青龙山,07:00:00,2013-07-08,淄博,83
70,98,155,174,101,64,93,市环保局,07:00:00,2013-07-08,枣庄,149
